X gumbel gaussian
-3.14159265359 2.06300953865e-09 0.00286914634635
-3.11695271121 3.53510825896e-09 0.00309912447389
-3.09231276883 5.97517811381e-09 0.00334550487242
-3.06767282645 9.96530387246e-09 0.00360928055673
-3.04303288407 1.64045061496e-08 0.00389149023861
-3.01839294168 2.66628536732e-08 0.00419321930963
-2.9937529993 4.28011585794e-08 0.0045156007539
-2.96911305692 6.78798924824e-08 0.00485981598188
-2.94447311454 1.0638774251e-07 0.00522709557615
-2.91983317216 1.64828327735e-07 0.0056187199393
-2.89519322978 2.52513071796e-07 0.00603601983429
-2.8705532874 3.82619064483e-07 0.00648037680687
-2.84591334502 5.73582843259e-07 0.00695322347989
-2.82127340264 8.50914176675e-07 0.00745604370858
-2.79663346025 1.24952780022e-06 0.00799037258632
-2.77199351787 1.81670516607e-06 0.00855779628965
-2.74735357549 2.61581199816e-06 0.00915995175172
-2.72271363311 3.73091002334e-06 0.00979852615297
-2.69807369073 5.27241177313e-06 0.0104752562181
-2.67343374835 7.38393480152e-06 0.0111919273083
-2.64879380597 1.02505149491e-05 0.0119503722977
-2.62415386359 1.41083362784e-05 0.0127524702239
-2.59951392121 1.92561269156e-05 0.0136001447016
-2.57487397882 2.60683542557e-05 0.0144953620895
-2.55023403644 3.50103289901e-05 0.0154401294011
-2.52559409406 4.66552945932e-05 0.0164364919496
-2.50095415168 6.17035369717e-05 0.0174865307189
-2.4763142093 8.10034980025e-05 0.0185923594522
-2.45167426692 0.000105574817161 0.0197561214516
-2.42703432454 0.000136633158288 0.0209799860812
-2.40239438216 0.000175616605154 0.0222661449691
-2.37775443978 0.00022421333168 0.0236168079035
-2.35311449739 0.000284390172662 0.0250341984189
-2.32847455501 0.000358421641204 0.0265205490701
-2.30383461263 0.00044891886258 0.0280780963932
-2.27919467025 0.00055885782391 0.0297090755536
-2.25455472787 0.000691606277758 0.0314157146818
-2.22991478549 0.000850948588533 0.033200228901
-2.20527484311 0.001041107776 0.0350648140496
-2.18063490073 0.00126676399259 0.0370116401065
-2.15599495835 0.00153306867251 0.0390428443248
-2.13135501596 0.00184565361201 0.0411605240842
-2.10671507358 0.00221063428246 0.0433667294744
-2.0820751312 0.00263460674101 0.0456634556197
-2.05743518882 0.00312463758671 0.0480526347624
-2.03279524644 0.00368824651217 0.0505361281193
-2.00815530406 0.00433338111932 0.0531157175319
-1.98351536168 0.00506838380075 0.0557930969282
-1.9588754193 0.00590195063181 0.0585698636206
-1.93423547692 0.00684308236998 0.0614475094626
-1.90959553453 0.00790102781271 0.0644274118904
-1.88495559215 0.00908521991956 0.0675108248778
-1.86031564977 0.010405205255 0.0706988698328
-1.83567570739 0.0118705674503 0.0739925264676
-1.81103576501 0.0134908455134 0.0773926236755
-1.78639582263 0.0152754479326 0.0808998304466
